GEO_ID,NAME,total_emp,manu_emp
0500000US42001,"Adams County, Pennsylvania",89515,9164
0500000US42003,"Allegheny County, Pennsylvania",1032509,46523
0500000US42005,"Armstrong County, Pennsylvania",54051,4910
0500000US42007,"Beaver County, Pennsylvania",138222,8726
0500000US42011,"Berks County, Pennsylvania",348253,35916
0500000US42013,"Blair County, Pennsylvania",100534,5540
0500000US42017,"Bucks County, Pennsylvania",535525,41073
0500000US42019,"Butler County, Pennsylvania",165061,12557
0500000US42021,"Cambria County, Pennsylvania",109788,6122
0500000US42025,"Carbon County, Pennsylvania",55032,3733
0500000US42027,"Centre County, Pennsylvania",138753,4161
0500000US42029,"Chester County, Pennsylvania",443541,29904
0500000US42033,"Clearfield County, Pennsylvania",65334,4005
0500000US42039,"Crawford County, Pennsylvania",68259,6380
0500000US42041,"Cumberland County, Pennsylvania",221286,11136
0500000US42043,"Dauphin County, Pennsylvania",232601,8466
0500000US42045,"Delaware County, Pennsylvania",463360,23140
0500000US42049,"Erie County, Pennsylvania",218190,16816
0500000US42051,"Fayette County, Pennsylvania",104880,4205
0500000US42055,"Franklin County, Pennsylvania",126046,14021
0500000US42063,"Indiana County, Pennsylvania",70116,3570
0500000US42069,"Lackawanna County, Pennsylvania",177736,11603
0500000US42071,"Lancaster County, Pennsylvania",443974,39912
0500000US42073,"Lawrence County, Pennsylvania",69896,5193
0500000US42075,"Lebanon County, Pennsylvania",115286,9977
0500000US42077,"Lehigh County, Pennsylvania",301751,25752
0500000US42079,"Luzerne County, Pennsylvania",268551,16141
0500000US42081,"Lycoming County, Pennsylvania",92013,8462
0500000US42085,"Mercer County, Pennsylvania",91186,7493
0500000US42089,"Monroe County, Pennsylvania",139535,8640
0500000US42091,"Montgomery County, Pennsylvania",705417,52905
0500000US42095,"Northampton County, Pennsylvania",265375,18434
0500000US42097,"Northumberland County, Pennsylvania",75584,6114
0500000US42101,"Philadelphia County, Pennsylvania",1268589,40728
0500000US42107,"Schuylkill County, Pennsylvania",118592,11685
0500000US42111,"Somerset County, Pennsylvania",61296,2830
0500000US42125,"Washington County, Pennsylvania",173819,8755
0500000US42129,"Westmoreland County, Pennsylvania",296562,26851
0500000US42133,"York County, Pennsylvania",374424,33055
