GEO_ID,NAME,total_emp,manu_emp
42001,"Adams County, Pennsylvania",89515,9164
42003,"Allegheny County, Pennsylvania",1032509,46523
42005,"Armstrong County, Pennsylvania",54051,4910
42007,"Beaver County, Pennsylvania",138222,8726
42011,"Berks County, Pennsylvania",348253,35916
42013,"Blair County, Pennsylvania",100534,5540
42017,"Bucks County, Pennsylvania",535525,41073
42019,"Butler County, Pennsylvania",165061,12557
42021,"Cambria County, Pennsylvania",109788,6122
42025,"Carbon County, Pennsylvania",55032,3733
42027,"Centre County, Pennsylvania",138753,4161
42029,"Chester County, Pennsylvania",443541,29904
42033,"Clearfield County, Pennsylvania",65334,4005
42039,"Crawford County, Pennsylvania",68259,6380
42041,"Cumberland County, Pennsylvania",221286,11136
42043,"Dauphin County, Pennsylvania",232601,8466
42045,"Delaware County, Pennsylvania",463360,23140
42049,"Erie County, Pennsylvania",218190,16816
42051,"Fayette County, Pennsylvania",104880,4205
42055,"Franklin County, Pennsylvania",126046,14021
42063,"Indiana County, Pennsylvania",70116,3570
42069,"Lackawanna County, Pennsylvania",177736,11603
42071,"Lancaster County, Pennsylvania",443974,39912
42073,"Lawrence County, Pennsylvania",69896,5193
42075,"Lebanon County, Pennsylvania",115286,9977
42077,"Lehigh County, Pennsylvania",301751,25752
42079,"Luzerne County, Pennsylvania",268551,16141
42081,"Lycoming County, Pennsylvania",92013,8462
42085,"Mercer County, Pennsylvania",91186,7493
42089,"Monroe County, Pennsylvania",139535,8640
42091,"Montgomery County, Pennsylvania",705417,52905
42095,"Northampton County, Pennsylvania",265375,18434
42097,"Northumberland County, Pennsylvania",75584,6114
42101,"Philadelphia County, Pennsylvania",1268589,40728
42107,"Schuylkill County, Pennsylvania",118592,11685
42111,"Somerset County, Pennsylvania",61296,2830
42125,"Washington County, Pennsylvania",173819,8755
42129,"Westmoreland County, Pennsylvania",296562,26851
42133,"York County, Pennsylvania",374424,33055
