FID,ZIP,TeenBirth,Birth_Rate
1,60002,18.5,10.44023863
2,60010,1.4,3.219560519
3,60015,1.8,7.635261024
4,60020,29.9,13.73706812
5,60030,6.2,10.59814567
6,60031,10.1,10.26503165
7,60035,3.6,8.161008144
8,60040,21.7,14.25925926
9,60042,5.2,5.142589995
10,60044,4.8,8.494268305
11,60045,0.3,4.886430103
12,60046,9.1,10.18388365
13,60047,3.5,7.827858175
14,60048,1.6,6.855279333
15,60060,20.6,13.36732812
16,60061,8.1,10.8246634
17,60064,48.3,15.45791924
18,60069,4.3,5.300566197
19,60073,42.9,17.02476628
20,60083,14.7,9.439414371
21,60084,24.3,13.91252285
22,60085,52.5,18.08063337
23,60087,52.7,14.86312277
24,60089,0.8,5.164245864
25,60096,13.6,7.742402315
26,60099,35.1,13.48645837
27,60041,12.3,11.98729058
